,option,amount
0,option 3,0.4299999999999997
1,option 3,0.3000000000000007
2,option 3,0.7575000000000003
3,option 3,0.5124999999999993
4,option 3,0.054999999999999716
5,option 1,-0.24749999999999872
6,option 1,0.23499999999999943
7,option 1,-0.1899999999999995
8,option 1,0.2624999999999993
9,option 1,0.6349999999999998
10,option 1,0.17999999999999972
11,option 1,0.4250000000000007
12,option 1,-0.07249999999999979
13,option 1,1.5899999999999999
14,option 1,0.2524999999999977
15,option 1,0.509999999999998
16,option 1,0.7624999999999993
17,option 1,0.865000000000002
18,option 1,0.504999999999999
19,option 3,0.45250000000000057
20,option 3,-0.4350000000000005
21,option 3,0.5899999999999999
22,option 3,-0.317499999999999
23,option 3,0.3849999999999998
24,option 3,-0.15000000000000036
25,option 3,-0.22749999999999915
26,option 3,0.7374999999999989
27,option 3,0.07000000000000028
28,option 3,1.022499999999999
29,option 3,1.4175000000000022
30,option 3,-0.14749999999999908
31,option 1,-0.2350000000000012
32,option 1,0.29499999999999993
33,option 1,0.6300000000000008
34,option 3,0.07499999999999929
35,option 3,1.3399999999999999
36,option 3,0.5899999999999999
37,option 3,0.620000000000001
38,option 1,0.4800000000000022
39,option 1,-0.010000000000001563
40,option 1,-0.3600000000000012
41,option 1,1.0025000000000013
42,option 1,1.0724999999999998
43,option 1,1.2699999999999996
44,option 1,0.36750000000000327
45,option 1,0.3200000000000003
46,option 1,1.0399999999999991
47,option 1,0.8099999999999987
48,option 1,0.39000000000000057
49,option 1,0.8674999999999997
50,option 1,1.177500000000002
51,option 1,1.9324999999999974
52,option 1,2.224999999999998
53,option 1,1.6524999999999999
54,option 1,1.495000000000001
55,option 1,1.4799999999999969
56,option 1,1.3874999999999993
57,option 1,0.9024999999999999
58,option 1,1.677500000000002
59,option 1,2.3000000000000007
60,option 1,1.9499999999999993
61,option 1,2.7474999999999987
62,option 1,1.9075000000000024
63,option 1,1.9875000000000007
64,option 1,3.092500000000001
65,option 1,2.8825000000000003
66,option 1,2.477499999999999
67,option 1,1.5500000000000007
68,option 1,1.9749999999999979
69,option 1,2.7575000000000003
70,option 1,2.607499999999998
